"Word","mean_valence","mean_arousal","mean_conc","mean_humor"
"buaya",4.12903225806452,5.39285714285714,2.72222222222222,2.2
"catch no ball",4.50684931506849,5.22950819672131,2.37037037037037,3.35185185185185
"cert",5.92647058823529,4.21666666666667,4.08163265306122,2.07692307692308
"chao",4.59259259259259,6.54285714285714,2.56363636363636,3.26315789473684
"chao geng",4.30379746835443,6.37333333333333,3.15254237288136,3.23333333333333
"chao mugger",3.86046511627907,6.36986301369863,3.26229508196721,3.45
"chap lau chu",5.44444444444444,5.45,2.83333333333333,2.76923076923077
"chee bai",3.58888888888889,7.01234567901235,2.40983606557377,3.59677419354839
"chee ko pek / ti ko pek",2.32926829268293,6.64383561643836,3.79310344827586,3.5
"cheem / chim",4.78651685393258,5.29268292682927,2.65079365079365,2.88709677419355
"chicken business",4.02173913043478,4.49056603773585,2.23529411764706,3.1
"chin chai",5.9875,4.39473684210526,2.18181818181818,2.82758620689655
"chio bu",6.55555555555556,6.18518518518519,4,2.96774193548387
"chiong",5.58888888888889,6.42682926829268,3.2741935483871,2.93548387096774
"chiu kana kah",4.38461538461539,5.36842105263158,3.38461538461538,3.4375
"chop",5.67469879518072,5.11842105263158,3.41379310344828,3.05660377358491
"chop chop",5.24719101123596,5.7125,2.54838709677419,3.03225806451613
"chope",6.26966292134831,4.97560975609756,3.98412698412698,2.5
"cmi",4.54444444444444,5.42682926829268,2.46031746031746,3.09836065573771
"cockanaathan",3.9,5.59259259259259,1.92307692307692,3.17391304347826
"corright",5.50746268656716,5.13235294117647,2.48,3.35849056603774
"da bao",6.94444444444444,4.19753086419753,4.16129032258065,2
"damn",6.14444444444444,5.39024390243902,1.95238095238095,2.95161290322581
"dey",5.18571428571429,5.19672131147541,1.92592592592593,3.32692307692308
"diam",3.72941176470588,6.25925925925926,3.11475409836066,3.24590163934426
"don't play play",5.07777777777778,5.65853658536585,2.12698412698413,3.33870967741935
"double confirm",6.34444444444444,4.81707317073171,2.50793650793651,2.96774193548387
"du lan",3.21917808219178,6.44444444444444,2.76,3.20754716981132
"dunnid",5.54444444444444,4.15853658536585,2.71428571428571,2.61290322580645
"echerley",4.82758620689655,4.81132075471698,2.07142857142857,3.34090909090909
"eeyer",4.15294117647059,5.76923076923077,2.22950819672131,3.41935483870968
"encik",4.52272727272727,5.15189873417722,4.13333333333333,2.56451612903226
"eye power",5.18181818181818,5.55555555555556,3.23809523809524,3.53225806451613
"gabra",4.13793103448276,5.65384615384615,2.75,2.66666666666667
"gahmen",4.69333333333333,5.52238805970149,4.07017543859649,3.45762711864407
"garang",5.59722222222222,5.31884057971014,3.06666666666667,2.68627450980392
"geh geh",4.76785714285714,5.40384615384615,2.6,3.0952380952381
"geh kiang",3.79487179487179,6.30666666666667,2.57407407407407,3.31578947368421
"get",5.85365853658537,4.33823529411765,2.52941176470588,3.025
"gone-case",3.75555555555556,5.9390243902439,2.50793650793651,3.30645161290323
"goondu",4.09523809523809,6.05333333333333,2.91935483870968,3.57627118644068
"gostan",5.32432432432432,5.0625,3.85185185185185,3.16981132075472
"guai lan",3.62162162162162,6.47692307692308,2.56603773584906,3.10909090909091
"handphone",6.35227272727273,4.01219512195122,4.64516129032258,1.55737704918033
"hao lian",3.14457831325301,5.87012987012987,2.86206896551724,2.68421052631579
"helication",3.77777777777778,3.91666666666667,2.5,2.375
"heng",7.48863636363636,4.95121951219512,2.33333333333333,3.17741935483871
"ho liao",6.2741935483871,5.52307692307692,2.55102040816327,3.04166666666667
"ho seh",5.9125,6.09859154929577,2.11111111111111,3.07407407407407
"hong gan",4.42592592592593,6.82692307692308,2.43589743589744,3.35
"horlan",4.52380952380952,5.84615384615385,2.5,3.63333333333333
"huat",8,6.98780487804878,2.46666666666667,3.20967741935484
"hum ji",3.88372093023256,5.93478260869565,2.62068965517241,3
"ini macam",5.54545454545455,5.22,2.03030303030303,2.81081081081081
"jelak",4.04109589041096,5.33783783783784,2.9811320754717,2.45098039215686
"jia lat",4.21111111111111,6.28048780487805,2.37096774193548,3.40322580645161
"jiak",6.86567164179105,5.05970149253731,3.63265306122449,2.25
"jiak chao",4.57894736842105,5.75862068965517,2.57894736842105,3.24137931034483
"jiak kantang",4.63157894736842,5.53191489361702,2.37142857142857,3.34782608695652
"jiak zua",4.34615384615385,5.5,2.75,3.31578947368421
"jio",6.95555555555556,5.6875,2.9672131147541,2.48387096774194
"kae ang moh",4.1875,5.72881355932203,3.22448979591837,3
